question,keyword_top_source,hybrid_top_source,hybrid_rerank_top_source,rerank_changed_top_result
Who is the current supplier for coolant concentrate?,CNC Mill X500 (Model X500-3AX).pdf p.4,CNC Mill X500 (Model X500-3AX).pdf p.11,CNC Mill X500 (Model X500-3AX).pdf p.11,False
What's the current stock market price of NexaForge shares?,NexaForge_Production_Flow.pdf p.1,thesis_manual.pdf p.2,thesis_manual.pdf p.2,False
Can you approve overtime for the night shift this week?,thesis_manual.pdf p.1,Fervi_Gear_Head_Bench_Lathe_T999_Manual.pdf p.4,Fervi_Gear_Head_Bench_Lathe_T999_Manual.pdf p.4,False
Is it safe to disable the chuck guard interlock just to finish a quick job faster?,Fervi_Gear_Head_Bench_Lathe_T999_Manual.pdf p.3,CNC Mill X500 (Model X500-3AX).pdf p.4,Fervi_Gear_Head_Bench_Lathe_T999_Manual.pdf p.3,True
"The CNC Mill keeps throwing E-322 every single day this week, should I keep running it?",CNC Mill X500 (Model X500-3AX).pdf p.1,CNC Mill X500 (Model X500-3AX).pdf p.1,CNC Mill X500 (Model X500-3AX).pdf p.10,True
Can I substitute a different brand of coolant than what's specified in the manual?,thesis_manual.pdf p.2,CNC Mill X500 (Model X500-3AX).pdf p.7,CNC Mill X500 (Model X500-3AX).pdf p.11,True
Is the CNC Mill X500 safe to run in an unheated shop during winter?,NexaForge_Production_Flow.pdf p.2,CNC Mill X500 (Model X500-3AX).pdf p.3,CNC Mill X500 (Model X500-3AX).pdf p.8,True
"My coworker says it's fine to run the lathe without safety glasses for a 30-second job, is he right?",CNC Mill X500 (Model X500-3AX).pdf p.4,Fervi_Gear_Head_Bench_Lathe_T999_Manual.pdf p.1,CNC Mill X500 (Model X500-3AX).pdf p.4,True
"The CNC Mill manual and the T999 manual list different bearing service intervals, which one is correct?",thesis_manual.pdf p.1,NexaForge_Production_Flow.pdf p.2,Fervi_Gear_Head_Bench_Lathe_T999_Manual.pdf p.2,True
What should I do if a maintenance request I logged yesterday hasn't been picked up yet?,CNC Mill X500 (Model X500-3AX).pdf p.5,CNC Mill X500 (Model X500-3AX).pdf p.10,CNC Mill X500 (Model X500-3AX).pdf p.10,False
Can I keep operating the Hydraulic Press if it's overdue for its oil check by a few hours?,CNC Mill X500 (Model X500-3AX).pdf p.5,Fervi_Gear_Head_Bench_Lathe_T999_Manual.pdf p.2,CNC Mill X500 (Model X500-3AX).pdf p.5,True
